City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
302,Bicas,-21.73,-43.06,63.0,67,94,2.73,light rain
303,Zatoka,46.07,30.47,66.2,88,0,7.54,clear sky
304,Magadan,59.57,150.8,49.08,50,0,5.7,clear sky
305,Baikunthpur,23.25,82.55,73.44,91,100,3.27,overcast clouds
306,College,64.86,-147.8,68.0,56,75,3.36,broken clouds
307,Kvitok,56.07,98.48,50.83,87,31,2.84,scattered clouds
308,Casino,-28.87,153.05,55.99,43,0,8.05,clear sky
309,Bengkulu,-3.8,102.27,75.09,87,100,4.14,overcast clouds
310,Port Hardy,50.7,-127.42,60.8,77,75,3.36,broken clouds
311,Saint-Augustin,51.23,-58.65,59.79,75,71,6.96,broken clouds
312,Union,40.63,-74.27,84.99,58,40,4.7,scattered clouds
313,Pisco,-13.7,-76.22,62.6,77,90,4.7,overcast clouds
314,Puerto Escondido,15.85,-97.07,80.6,69,90,5.77,drizzle
315,Yumen,40.28,97.2,61.27,32,18,2.82,few clouds
316,Necochea,-38.55,-58.74,55.99,60,7,14.0,clear sky
317,Buchanan,5.88,-10.05,77.0,94,40,10.94,scattered clouds
318,Nome,64.5,-165.41,55.0,87,90,9.17,overcast clouds
319,Waren,53.52,12.68,60.01,92,18,8.68,few clouds
320,Namibe,-15.2,12.15,64.18,90,61,0.63,broken clouds
321,Bafia,4.75,11.23,69.35,97,100,3.06,light rain
322,Sao Filipe,14.9,-24.5,79.41,82,73,7.61,broken clouds
323,Petauke,-14.24,31.33,62.17,61,47,7.58,scattered clouds
324,Okhotsk,59.38,143.3,52.93,64,26,2.39,scattered clouds
325,Chumikan,54.72,135.31,58.41,58,36,8.72,scattered clouds
326,Rockhampton,-23.38,150.5,53.6,50,0,5.82,clear sky
327,Cayenne,4.93,-52.33,77.0,94,32,1.12,scattered clouds
328,Kenai,60.55,-151.26,62.6,77,90,13.87,light rain
329,Rudbar,30.15,62.6,88.86,43,0,11.99,clear sky
330,Wangaratta,-36.37,146.33,39.2,100,3,6.93,clear sky
331,Minna,9.61,6.56,73.04,93,100,3.02,light rain
332,Bazarnyy Karabulak,52.27,46.41,55.0,75,0,3.87,clear sky
333,Dzaoudzi,-12.79,45.27,71.6,88,66,8.05,broken clouds
334,Naliya,23.27,68.83,81.66,85,100,15.01,moderate rain
335,Camacha,33.08,-16.33,73.4,78,20,12.75,few clouds
336,Flinders,-34.58,150.86,52.0,59,0,8.01,clear sky
337,Marquette,46.53,-87.63,71.01,89,38,1.99,scattered clouds
338,Amot,59.57,7.99,50.0,71,1,1.99,clear sky
339,Katsuura,35.13,140.3,79.0,89,100,5.01,overcast clouds
340,Alta Floresta,-9.88,-56.09,82.87,30,1,3.71,clear sky
341,Kanniyakumari,8.08,77.57,79.3,81,11,16.22,few clouds
342,Marfino,55.7,37.38,64.0,77,100,4.47,overcast clouds
343,Mahibadhoo,3.78,72.97,82.38,67,77,1.66,light rain
344,Xining,36.62,101.77,52.18,79,22,2.19,few clouds
345,Sorland,67.67,12.69,53.06,79,36,17.96,scattered clouds
346,Fomboni,-12.28,43.74,75.74,67,80,0.36,broken clouds
347,Gazli,40.13,63.45,79.18,31,53,13.49,broken clouds
348,Atar,20.52,-13.05,98.13,27,35,12.88,scattered clouds
349,Sinnamary,5.38,-52.95,80.17,82,56,10.42,broken clouds
350,Nanortalik,60.14,-45.24,44.94,84,0,5.97,clear sky
351,Qiongshan,20.01,110.35,77.0,94,29,2.24,scattered clouds
352,Bethel,41.37,-73.41,82.99,54,1,5.82,clear sky
353,North Platte,41.12,-100.77,98.6,29,1,10.29,clear sky
354,Kathu,7.92,98.33,84.99,94,20,2.24,few clouds
355,Covington,39.08,-84.51,84.99,62,20,10.29,few clouds
356,Zhob,31.34,69.45,79.75,57,2,2.1,clear sky
357,Baturaja,-4.13,104.17,72.16,91,95,2.26,overcast clouds
358,Asau,46.43,26.4,64.99,88,36,3.76,light rain
359,Kloulklubed,7.04,134.26,80.6,83,75,4.7,broken clouds
360,Bela,25.93,81.98,80.89,81,78,4.05,broken clouds
361,Mildura,-34.2,142.15,39.99,100,0,3.36,clear sky
362,Coahuayana,18.73,-103.68,80.6,83,75,17.22,moderate rain
363,Jumla,29.27,82.18,60.69,71,96,1.14,overcast clouds
364,Kakori,26.88,80.8,78.8,94,75,2.24,mist
365,Muhos,64.81,25.99,57.2,87,13,6.93,few clouds
366,Fairbanks,64.84,-147.72,68.0,59,90,2.75,overcast clouds
367,Acurenam,1.03,10.65,68.5,91,100,4.41,overcast clouds
368,Ola,59.58,151.28,50.0,49,1,9.86,clear sky
369,Richards Bay,-28.78,32.04,63.45,80,0,7.7,clear sky
370,Dasoguz,41.84,59.97,73.4,46,0,20.8,clear sky
371,Gamarra,8.32,-73.74,82.35,77,58,2.26,light rain
372,Talakan,50.32,130.37,66.85,75,61,7.14,broken clouds
373,Podosinovets,60.28,47.07,58.53,94,96,4.74,overcast clouds
374,Tura,25.52,90.22,73.62,97,6,4.32,clear sky
375,Dunedin,-45.87,170.5,50.0,94,100,1.01,overcast clouds
376,Trat,12.5,102.5,75.88,93,100,2.59,overcast clouds
377,Hanford,36.33,-119.65,95.0,38,90,2.57,haze
378,Oktyabrskoye,43.06,44.74,50.0,93,69,6.71,broken clouds
379,Starogard Gdanski,53.96,18.53,60.8,72,3,6.93,clear sky
380,Riyadh,24.69,46.72,95.0,14,39,6.93,scattered clouds
381,Vanimo,-2.67,141.3,77.25,85,100,4.27,light rain
382,Salalah,17.02,54.09,77.0,94,90,6.93,light intensity drizzle
383,Sukhumi,43.0,41.02,62.37,67,0,8.03,clear sky
384,Mao,39.89,4.27,71.6,73,0,4.7,clear sky
385,Bubaque,11.28,-15.83,80.83,82,98,10.6,overcast clouds
386,Kelheim,48.92,11.87,62.01,76,20,4.7,few clouds
387,Sibolga,1.74,98.78,75.87,77,49,3.0,scattered clouds
388,Avera,33.19,-82.53,78.8,100,1,3.36,clear sky
389,Stornoway,58.21,-6.39,48.99,81,52,1.12,broken clouds
390,Monster,52.03,4.17,62.01,94,82,4.0,heavy intensity rain
391,Calama,-22.47,-68.93,60.8,36,75,20.8,broken clouds
392,Monrovia,6.3,-10.8,77.0,94,40,14.36,scattered clouds
